City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cockburn Town,TC,79.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
9,Santa Isabel,BR,78.58,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
11,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
16,Adelaide,AU,92.16,clear sky,-34.9333,138.6,The Chancellor on Currie
19,Takoradi,GH,79.0,light rain,4.8845,-1.7554,Raybow International Hotel
20,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,People ThankYou
21,Palmerston,AU,96.93,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
24,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
26,Bambanglipuro,ID,83.59,overcast clouds,-7.95,110.2833,Puri Brata
29,Port Lincoln,AU,81.36,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
31,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
39,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,New Norfolk,AU,81.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
50,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
59,Meulaboh,ID,77.7,light rain,4.1363,96.1285,Kost Pria
61,Hervey Bay,AU,83.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
65,Codrington,AU,79.11,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
74,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
81,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
94,Balabac,PH,83.43,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
96,Bandarbeyla,SO,75.81,clear sky,9.4942,50.8122,JABIR HOTEL
102,Hobart,AU,82.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
113,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
115,Swan Hill,AU,86.0,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
126,Umm Lajj,SA,82.09,clear sky,25.0213,37.2685,Moon light Furnished Units
127,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
131,Ugoofaaru,MV,81.55,moderate rain,5.6667,73.0,Ungoofaaru Inn
132,Mildura,AU,90.07,few clouds,-34.2,142.15,Mercure Hotel Mildura
135,Tete,MZ,75.29,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
139,Idah,NG,75.29,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
140,Sorong,ID,84.74,moderate rain,-0.8833,131.25,Waigo Splash Hotel
