City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maltahohe,NA,2021-11-25 00:30:29,-24.8333,16.9833,63.9,38,0,7.47
1,Ushuaia,AR,2021-11-25 00:28:39,-54.8,-68.3,46.06,66,20,17.27
2,Atambua,ID,2021-11-25 00:30:30,-9.1061,124.8925,84.09,64,72,1.79
3,Corbelia,BR,2021-11-25 00:30:30,-24.7989,-53.3067,74.37,58,27,2.98
4,Ribeira Grande,PT,2021-11-25 00:30:31,38.5167,-28.7,64.98,69,100,24.11
5,Yellowknife,CA,2021-11-25 00:29:00,62.456,-114.3525,0.41,87,90,16.11
6,Requena,ES,2021-11-25 00:30:32,39.4883,-1.1004,42.71,80,100,17.98
7,Saskylakh,RU,2021-11-25 00:30:04,71.9167,114.0833,-10.32,95,100,9.22
8,Bluff,NZ,2021-11-25 00:28:37,-46.6,168.3333,60.17,52,92,5.61
9,Pitimbu,BR,2021-11-25 00:30:33,-7.4706,-34.8086,79.39,77,54,9.53
10,Leningradskiy,RU,2021-11-25 00:30:33,69.3833,178.4167,-19.03,98,100,4.76
11,Punta Arenas,CL,2021-11-25 00:28:43,-53.15,-70.9167,48.31,71,0,8.05
12,Cape Town,ZA,2021-11-25 00:26:31,-33.9258,18.4232,62.1,56,0,8.05
13,Tocopilla,CL,2021-11-25 00:30:35,-22.092,-70.1979,65.28,70,61,7.83
14,Chuy,UY,2021-11-25 00:30:35,-33.6971,-53.4616,62.44,70,0,8.03
15,Longyearbyen,SJ,2021-11-25 00:30:36,78.2186,15.6401,3.04,78,40,6.91
16,Kirakira,SB,2021-11-25 00:30:36,-10.4544,161.9205,84.81,72,100,9.31
17,Mweka,CD,2021-11-25 00:30:36,-4.85,21.5667,67.26,99,100,1.28
18,Harwich,GB,2021-11-25 00:30:37,51.9419,1.2844,44.01,88,86,5.01
19,Gimli,CA,2021-11-25 00:29:39,50.6336,-96.9907,10.42,61,87,12.66
20,Kargil,IN,2021-11-25 00:30:38,34.5667,76.1,19.08,90,100,1.25
21,New Norfolk,AU,2021-11-25 00:28:49,-42.7826,147.0587,72.66,25,8,4.61
22,East London,ZA,2021-11-25 00:30:38,-33.0153,27.9116,59.83,80,86,5.88
23,Mayo,US,2021-11-25 00:30:39,38.8876,-76.5119,43.11,73,1,1.01
24,Kismayo,SO,2021-11-25 00:30:39,-0.3582,42.5454,78.21,83,85,10.69
25,Bengkulu,ID,2021-11-25 00:30:40,-3.8004,102.2655,79.93,63,46,4.09
26,Sobolevo,RU,2021-11-25 00:30:40,54.4299,31.8996,33.66,93,100,10.63
27,Mayumba,GA,2021-11-25 00:30:41,-3.432,10.6554,74.59,95,100,3.49
28,Vallenar,CL,2021-11-25 00:30:41,-28.5708,-70.7581,66.36,47,4,2.1
29,Lebu,CL,2021-11-25 00:30:42,-37.6167,-73.65,54.86,92,19,1.99
30,Yagodnoye,RU,2021-11-25 00:30:42,62.55,149.6667,-23.06,96,17,3.8
31,Jamestown,US,2021-11-25 00:28:17,42.097,-79.2353,42.39,56,1,10.36
32,Luanda,AO,2021-11-25 00:27:29,-8.8368,13.2343,78.15,81,97,7.29
33,Manggar,ID,2021-11-25 00:30:43,-2.8833,108.2667,82.0,66,79,3.09
34,Matagami,CA,2021-11-25 00:29:15,49.7502,-77.6328,32.11,100,90,4.61
35,Port Lincoln,AU,2021-11-25 00:27:26,-34.7333,135.8667,63.25,69,7,21.77
36,Fort Nelson,CA,2021-11-25 00:30:07,58.8053,-122.7002,-4.41,84,90,2.3
37,Darjiling,IN,2021-11-25 00:30:45,27.0333,88.2667,39.22,76,15,5.35
38,Mataura,NZ,2021-11-25 00:30:46,-46.1927,168.8643,72.82,26,100,8.08
39,Busselton,AU,2021-11-25 00:28:51,-33.65,115.3333,66.09,52,48,12.71
40,Onalaska,US,2021-11-25 00:28:54,43.8844,-91.2351,49.35,64,1,9.22
41,Kapaa,US,2021-11-25 00:30:47,22.0752,-159.319,82.72,65,1,3.0
42,Callaway,US,2021-11-25 00:30:48,30.153,-85.5699,53.91,68,1,0.0
43,Isangel,VU,2021-11-25 00:30:48,-19.55,169.2667,76.8,79,100,17.38
44,Albany,US,2021-11-25 00:30:01,42.6001,-73.9662,34.66,69,98,2.75
45,Mugumu,TZ,2021-11-25 00:30:49,-1.85,34.7,65.82,70,92,3.89
46,Nikolskoye,RU,2021-11-25 00:30:50,59.7035,30.7861,31.89,91,100,2.44
47,Ca Mau,VN,2021-11-25 00:30:50,9.1769,105.15,77.32,90,100,5.39
48,Kuching,MY,2021-11-25 00:31:51,1.55,110.3333,77.22,94,40,3.44
49,Cienaga,CO,2021-11-25 00:31:51,11.007,-74.2476,77.14,80,100,3.78
50,Ahipara,NZ,2021-11-25 00:31:52,-35.1667,173.1667,65.55,71,100,2.75
51,Nhulunbuy,AU,2021-11-25 00:31:52,-12.2333,136.7667,90.21,51,75,5.75
52,Doka,SD,2021-11-25 00:31:53,13.5167,35.7667,76.14,35,5,10.49
53,Komsomolskiy,UZ,2021-11-25 00:31:54,40.4272,71.7189,38.62,60,0,4.61
54,Atbasar,KZ,2021-11-25 00:31:54,51.8,68.3333,14.74,89,100,10.02
55,Avarua,CK,2021-11-25 00:31:55,-21.2078,-159.775,80.65,69,78,11.5
56,Hithadhoo,MV,2021-11-25 00:29:59,-0.6,73.0833,81.99,72,93,18.54
57,Manica,FR,2021-11-25 00:31:55,49.0,-1.1667,40.41,86,100,0.51
58,Rikitea,PF,2021-11-25 00:31:56,-23.1203,-134.9692,77.14,70,12,11.86
59,Sao Joao Da Barra,BR,2021-11-25 00:31:57,-21.6403,-41.0511,71.8,88,18,5.14
60,Saint-Francois,FR,2021-11-25 00:31:57,46.4154,3.9054,33.67,96,99,2.3
61,Jumla,NP,2021-11-25 00:31:58,29.2747,82.1838,37.67,53,0,4.09
62,Kazanka,UA,2021-11-25 00:31:58,47.8462,32.8218,30.51,79,11,6.06
63,Torbay,CA,2021-11-25 00:31:59,47.6666,-52.7314,48.27,98,90,18.41
64,Fortuna,US,2021-11-25 00:31:59,40.5982,-124.1573,55.74,69,1,1.01
65,Puerto Ayora,EC,2021-11-25 00:31:15,-0.7393,-90.3518,69.69,82,33,11.07
66,Hilo,US,2021-11-25 00:32:00,19.7297,-155.09,86.29,74,40,12.66
67,Zhigansk,RU,2021-11-25 00:32:00,66.7697,123.3711,-14.75,90,100,5.39
68,Pecos,US,2021-11-25 00:32:01,31.4229,-103.4932,70.05,32,1,6.91
69,Norman Wells,CA,2021-11-25 00:31:55,65.282,-126.8329,-23.76,69,75,2.3
70,Hobart,AU,2021-11-25 00:30:27,-42.8794,147.3294,73.02,52,75,5.01
71,Hasaki,JP,2021-11-25 00:32:02,35.7333,140.8333,54.28,48,0,8.79
72,Hermanus,ZA,2021-11-25 00:32:02,-34.4187,19.2345,57.79,72,0,20.45
73,Narsaq,GL,2021-11-25 00:32:03,60.9167,-46.05,35.82,99,100,8.16
74,Vredendal,ZA,2021-11-25 00:32:03,-31.6683,18.5012,65.89,44,7,6.04
75,Zunheboto,IN,2021-11-25 00:32:04,25.9667,94.5167,48.02,80,3,3.44
76,Santa Isabel,BR,2021-11-25 00:32:04,-23.3156,-46.2214,70.66,97,100,2.62
77,Port-Cartier,CA,2021-11-25 00:31:07,50.0334,-66.8654,30.74,49,100,15.5
78,Lodwar,KE,2021-11-25 00:32:05,3.1191,35.5973,83.7,44,59,6.6
79,Barguzin,RU,2021-11-25 00:32:06,53.6167,109.6167,14.49,95,100,1.86
80,Pacific Grove,US,2021-11-25 00:31:00,36.6177,-121.9166,64.94,51,1,1.01
81,Candido De Abreu,BR,2021-11-25 00:32:07,-24.5669,-51.3333,72.41,71,76,2.1
82,Taoudenni,ML,2021-11-25 00:32:07,22.6783,-3.9836,77.92,39,89,7.87
83,Starkville,US,2021-11-25 00:32:08,33.4504,-88.8184,55.06,73,54,7.83
84,Karratha,AU,2021-11-25 00:27:38,-20.7377,116.8463,87.76,20,60,22.19
85,San Bartolome De Tirajana,ES,2021-11-25 00:32:09,27.9248,-15.5733,59.47,86,75,6.91
86,Salalah,OM,2021-11-25 00:32:09,17.0151,54.0924,80.69,89,0,3.44
87,Rabo De Peixe,PT,2021-11-25 00:32:10,37.8,-25.5833,62.28,96,75,12.66
88,Nguruka,TZ,2021-11-25 00:32:10,-5.1092,31.0419,65.39,87,100,3.58
89,Oriximina,BR,2021-11-25 00:32:11,-1.7656,-55.8661,78.91,72,42,3.15
90,Barrow,US,2021-11-25 00:28:16,71.2906,-156.7887,-3.98,77,75,11.5
91,Kaeo,NZ,2021-11-25 00:33:12,-35.1,173.7833,67.26,66,100,7.54
92,Coihaique,CL,2021-11-25 00:33:12,-45.5752,-72.0662,57.15,67,75,3.44
93,Hualmay,PE,2021-11-25 00:33:12,-11.0964,-77.6139,66.63,83,100,9.31
94,Ust-Koksa,RU,2021-11-25 00:33:13,50.2696,85.6108,23.65,94,100,2.21
95,Xining,CN,2021-11-25 00:28:19,36.6167,101.7667,25.57,36,0,2.89
96,Yakima,US,2021-11-25 00:33:14,46.4665,-120.6678,42.73,71,1,3.44
97,Butaritari,KI,2021-11-25 00:31:19,3.0707,172.7902,82.45,69,17,15.12
98,Lompoc,US,2021-11-25 00:33:15,34.6391,-120.4579,72.09,45,1,8.05
99,Roald,NO,2021-11-25 00:33:15,62.5833,6.1333,39.34,87,75,1.14
100,Iqaluit,CA,2021-11-25 00:29:48,63.7506,-68.5145,28.13,74,75,31.07
101,Kruisfontein,ZA,2021-11-25 00:33:16,-34.0033,24.7314,56.88,90,0,3.96
102,Atuona,PF,2021-11-25 00:33:16,-9.8,-139.0333,77.94,79,38,13.29
103,Lorengau,PG,2021-11-25 00:31:17,-2.0226,147.2712,85.66,67,35,9.35
104,Cabo San Lucas,MX,2021-11-25 00:33:17,22.8909,-109.9124,78.1,64,1,14.97
105,Arraial Do Cabo,BR,2021-11-25 00:33:17,-22.9661,-42.0278,71.56,94,40,2.3
106,Tasiilaq,GL,2021-11-25 00:33:18,65.6145,-37.6368,26.76,83,100,8.77
107,Grand-Santi,GF,2021-11-25 00:29:16,4.25,-54.3833,73.26,98,100,1.68
108,Porangatu,BR,2021-11-25 00:33:19,-13.4408,-49.1486,76.46,77,100,1.81
109,San Isidro,PE,2021-11-25 00:33:19,-12.1167,-77.05,68.02,83,40,3.0
110,Christchurch,NZ,2021-11-25 00:32:06,-43.5333,172.6333,70.32,66,100,8.01
111,Kabinda,CD,2021-11-25 00:33:20,-6.1333,24.4833,65.79,97,100,3.96
112,Qaanaaq,GL,2021-11-25 00:28:39,77.484,-69.3632,-2.49,50,0,8.12
113,Katsuura,JP,2021-11-25 00:31:44,35.1333,140.3,60.19,57,0,16.37
114,Vaini,TO,2021-11-25 00:28:43,-21.2,-175.2,84.36,89,75,5.75
115,Ampanihy,MG,2021-11-25 00:33:21,-24.7,44.75,61.57,87,0,2.57
116,Ishigaki,JP,2021-11-25 00:33:21,24.3448,124.1572,73.53,68,75,11.5
117,Carnarvon,AU,2021-11-25 00:33:22,-24.8667,113.6333,89.67,18,0,21.85
118,Saint-Philippe,RE,2021-11-25 00:33:22,-21.3585,55.7679,74.79,84,57,2.53
119,Syracuse,IT,2021-11-25 00:28:27,37.0881,15.2792,59.05,81,20,3.33
120,Touros,BR,2021-11-25 00:33:23,-5.1989,-35.4608,81.5,77,89,12.86
121,Nanortalik,GL,2021-11-25 00:33:23,60.1432,-45.2371,39.09,98,100,12.21
122,Kortkeros,RU,2021-11-25 00:33:24,61.8106,51.5806,12.2,96,100,5.14
123,Bira,RU,2021-11-25 00:33:24,49.0,132.4667,19.4,80,57,3.85
124,Kimbe,PG,2021-11-25 00:33:25,-5.5502,150.1429,87.66,64,50,4.97
125,Chokurdakh,RU,2021-11-25 00:31:47,70.6333,147.9167,-26.9,100,73,6.8
126,Port Hardy,CA,2021-11-25 00:33:26,50.6996,-127.4199,44.6,93,90,20.71
127,Margate,GB,2021-11-25 00:30:27,51.3813,1.3862,44.31,86,100,4.0
128,Kahramanmaras,TR,2021-11-25 00:33:26,38.0,37.0,39.83,92,100,7.96
129,Port Elizabeth,ZA,2021-11-25 00:33:27,-33.918,25.5701,61.09,77,20,8.05
130,Castro,BR,2021-11-25 00:33:27,-24.7911,-50.0119,63.66,82,100,7.34
131,Virginia Beach,US,2021-11-25 00:31:21,36.8529,-75.978,42.03,65,40,0.0
132,Kavieng,PG,2021-11-25 00:33:28,-2.5744,150.7967,85.93,63,18,10.78
133,Tuktoyaktuk,CA,2021-11-25 00:30:01,69.4541,-133.0374,-25.6,68,20,5.75
134,Svetlyy,RU,2021-11-25 00:33:28,54.675,20.1347,44.65,87,100,13.82
135,Alofi,NU,2021-11-25 00:33:29,-19.0595,-169.9187,84.09,70,40,10.36
136,San Quintin,MX,2021-11-25 00:34:29,30.4833,-115.95,62.06,79,0,7.09
137,Rundu,NA,2021-11-25 00:34:30,-17.9333,19.7667,69.15,20,100,4.94
138,Port Moresby,PG,2021-11-25 00:34:30,-9.4431,147.1797,87.22,70,20,11.5
139,Grindavik,IS,2021-11-25 00:34:31,63.8424,-22.4338,37.87,93,90,18.41
140,Quatre Cocos,MU,2021-11-25 00:34:31,-20.2078,57.7625,74.08,76,10,9.19
141,Maceio,BR,2021-11-25 00:30:18,-9.6658,-35.7353,78.24,88,20,5.75
142,Chermoz,RU,2021-11-25 00:34:32,58.787,56.1489,5.04,97,76,7.36
143,Khatanga,RU,2021-11-25 00:34:32,71.9667,102.5,-10.7,96,30,4.59
144,Meulaboh,ID,2021-11-25 00:34:33,4.1363,96.1285,77.05,84,99,4.54
145,Makat,KZ,2021-11-25 00:34:33,47.6469,53.3463,22.14,77,3,8.05
146,Georgetown,MY,2021-11-25 00:30:15,5.4112,100.3354,77.9,93,40,3.0
147,Poya,NC,2021-11-25 00:34:34,-21.35,165.15,81.73,62,61,5.61
148,Mokrousovo,RU,2021-11-25 00:34:34,55.8103,66.7653,10.38,96,98,7.2
149,Mahanoro,MG,2021-11-25 00:34:35,-19.9,48.8,73.38,90,60,3.13
150,Eureka,US,2021-11-25 00:30:02,40.8021,-124.1637,56.01,73,92,1.99
151,Alice Springs,AU,2021-11-25 00:34:35,-23.7,133.8833,67.55,64,40,10.36
152,Constitucion,CL,2021-11-25 00:31:18,-35.3333,-72.4167,53.91,92,0,0.87
153,Dingle,PH,2021-11-25 00:34:36,10.9995,122.6711,82.76,80,100,9.64
154,Conroe,US,2021-11-25 00:31:10,30.3119,-95.456,73.17,76,90,12.66
155,Kidal,ML,2021-11-25 00:34:37,18.4411,1.4078,76.08,30,2,11.34
156,Ulladulla,AU,2021-11-25 00:34:37,-35.35,150.4667,79.77,83,100,4.54
157,Cidreira,BR,2021-11-25 00:34:38,-30.1811,-50.2056,67.78,77,0,20.45
158,Cayenne,GF,2021-11-25 00:32:05,4.9333,-52.3333,82.09,85,75,3.44
159,Kodiak,US,2021-11-25 00:34:38,57.79,-152.4072,22.51,58,90,10.36
160,Sakaiminato,JP,2021-11-25 00:34:39,35.55,133.2333,53.53,66,75,5.75
161,Terrace,CA,2021-11-25 00:34:39,54.5163,-128.6035,37.42,93,90,20.71
162,Dalvik,IS,2021-11-25 00:34:40,65.9702,-18.5286,28.33,83,100,21.52
163,Bredasdorp,ZA,2021-11-25 00:31:52,-34.5322,20.0403,57.27,69,0,12.53
164,Xiaoweizhai,CN,2021-11-25 00:34:41,26.1903,107.5125,51.31,73,0,2.01
165,Pevek,RU,2021-11-25 00:34:41,69.7008,170.3133,-15.5,92,100,2.37
166,Dinguiraye,GN,2021-11-25 00:34:42,11.3,-10.7167,71.01,34,100,1.25
167,Beringovskiy,RU,2021-11-25 00:34:42,63.05,179.3167,-0.81,80,100,6.78
168,Geraldton,AU,2021-11-25 00:31:18,-28.7667,114.6,88.21,14,0,13.8
169,Udomlya,RU,2021-11-25 00:34:43,57.8794,34.9925,30.6,87,99,6.73
170,Victoria,HK,2021-11-25 00:30:06,22.2855,114.1577,67.32,67,20,1.01
171,Anjozorobe,MG,2021-11-25 00:34:43,-18.4,47.8667,66.52,91,23,2.26
172,Esperance,AU,2021-11-25 00:33:46,-33.8667,121.9,64.24,67,100,5.55
173,Port Alfred,ZA,2021-11-25 00:34:44,-33.5906,26.891,59.95,78,56,11.59
174,Harper,LR,2021-11-25 00:34:44,4.375,-7.7169,79.45,84,41,5.82
175,Wao,PH,2021-11-25 00:34:45,7.6833,124.6833,69.35,93,100,2.35
176,Havoysund,NO,2021-11-25 00:34:46,70.9963,24.6622,23.88,79,100,7.96
177,Marrakesh,MA,2021-11-25 00:34:46,31.6315,-8.0083,55.47,76,40,4.61
178,Saint-Georges,GD,2021-11-25 00:34:46,12.0564,-61.7485,80.28,83,20,0.0
179,Kamaishi,JP,2021-11-25 00:34:47,39.2667,141.8833,40.15,88,80,6.62
180,Winchester,GB,2021-11-25 00:31:37,51.0651,-1.3187,42.69,94,75,1.14
181,Duku,NG,2021-11-25 00:34:47,11.2361,4.9073,77.14,24,4,4.94
182,Merauke,ID,2021-11-25 00:35:48,-8.4667,140.3333,85.35,67,99,5.86
183,Banswara,IN,2021-11-25 00:35:48,23.55,74.45,66.96,48,0,2.98
184,Yar-Sale,RU,2021-11-25 00:35:49,66.8333,70.8333,-3.44,98,95,4.65
185,Igarka,RU,2021-11-25 00:35:49,67.4667,86.5833,8.74,95,100,11.77
186,Fairbanks,US,2021-11-25 00:35:19,64.8378,-147.7164,-6.02,71,40,5.75
187,Thompson,CA,2021-11-25 00:35:50,55.7435,-97.8558,-3.84,71,1,12.66
188,Caravelas,BR,2021-11-25 00:35:50,-17.7125,-39.2481,74.28,85,100,6.13
189,Una,IN,2021-11-25 00:35:51,20.8167,71.0333,74.35,40,5,7.74
190,Nelson Bay,AU,2021-11-25 00:35:35,-32.7167,152.15,77.05,92,100,6.67
191,Provideniya,RU,2021-11-25 00:35:52,64.3833,-173.3,3.31,55,0,6.71
192,Tessalit,ML,2021-11-25 00:35:52,20.1986,1.0114,73.74,33,82,7.81
193,Kasempa,ZM,2021-11-25 00:35:53,-13.4584,25.8338,63.41,96,100,2.53
194,Boende,CD,2021-11-25 00:35:54,-0.2167,20.8667,73.53,86,100,2.77
195,Vila Franca Do Campo,PT,2021-11-25 00:35:54,37.7167,-25.4333,63.19,72,100,21.59
196,Upanema,BR,2021-11-25 00:35:55,-5.6419,-37.2578,80.29,67,96,15.43
197,Dakar,SN,2021-11-25 00:31:52,14.6937,-17.4441,80.73,94,40,0.0
198,Lavrentiya,RU,2021-11-25 00:32:35,65.5833,-171.0,-4.83,91,7,8.16
199,Ixtepec,MX,2021-11-25 00:35:55,16.5786,-95.1022,73.0,74,7,11.43
200,Mount Gambier,AU,2021-11-25 00:35:56,-37.8333,140.7667,62.51,59,75,18.41
201,Pangnirtung,CA,2021-11-25 00:35:56,66.1451,-65.7125,21.2,68,90,14.97
202,Rafai,CF,2021-11-25 00:35:57,4.95,23.9167,67.44,57,0,1.45
203,Bambanglipuro,ID,2021-11-25 00:35:57,-7.95,110.2833,82.67,75,24,5.03
204,Mar Del Plata,AR,2021-11-25 00:35:58,-38.0023,-57.5575,80.62,34,0,9.22
205,Kahului,US,2021-11-25 00:35:58,20.8947,-156.47,86.02,69,20,14.97
206,Bathsheba,BB,2021-11-25 00:35:59,13.2167,-59.5167,77.61,88,20,6.91
207,San Cristobal,VE,2021-11-25 00:35:59,7.7669,-72.225,66.38,96,73,2.35
208,Severo-Yeniseyskiy,RU,2021-11-25 00:36:00,60.3725,93.0408,11.86,92,100,6.24
209,Rurrenabaque,BO,2021-11-25 00:36:00,-14.4413,-67.5278,75.4,92,92,1.66
210,Lasa,IT,2021-11-25 00:32:24,46.6166,10.7002,36.48,85,47,2.64
211,Casper,US,2021-11-25 00:36:01,42.8666,-106.3131,28.72,85,75,1.99
212,Sulam,IL,2021-11-25 00:36:01,32.6061,35.3341,57.24,76,95,2.8
213,Saint George,US,2021-11-25 00:35:11,37.1041,-113.5841,54.19,20,1,8.01
214,Metro,ID,2021-11-25 00:36:02,-5.1131,105.3067,79.21,64,65,3.62
215,Ucluelet,CA,2021-11-25 00:36:02,48.9329,-125.5528,48.09,92,100,4.0
216,Auki,SB,2021-11-25 00:36:00,-8.7676,160.7034,87.4,59,48,1.52
217,Guerrero Negro,MX,2021-11-25 00:31:21,27.9769,-114.0611,65.1,78,100,13.47
218,Dikson,RU,2021-11-25 00:33:07,73.5069,80.5464,7.27,88,100,9.55
219,Berbera,SO,2021-11-25 00:36:03,10.4396,45.0143,78.42,64,14,7.23
220,Pemangkat,ID,2021-11-25 00:36:04,1.1667,108.9667,79.12,85,100,3.2
221,Gillette,US,2021-11-25 00:36:04,44.2911,-105.5022,25.95,75,75,0.0
222,Sitka,US,2021-11-25 00:36:05,57.0531,-135.33,44.49,65,90,11.5
223,Mount Isa,AU,2021-11-25 00:31:13,-20.7333,139.5,71.37,73,90,5.75
224,Shingu,JP,2021-11-25 00:36:06,33.7333,135.9833,56.39,55,4,10.31
225,Kijang,KR,2021-11-25 00:36:06,35.2442,129.2139,53.33,60,6,11.01
226,Shelburne,CA,2021-11-25 00:35:12,44.0787,-80.2041,40.89,76,100,15.55
227,Tula,RU,2021-11-25 00:36:07,54.2044,37.6111,33.82,88,100,16.31
228,Atasu,KZ,2021-11-25 00:36:07,48.6814,71.6433,38.01,72,100,19.17
229,Hobyo,SO,2021-11-25 00:36:08,5.3505,48.5268,80.65,80,10,11.59
230,Pochutla,MX,2021-11-25 00:37:08,15.7432,-96.4661,83.25,79,5,3.13
231,Bilibino,RU,2021-11-25 00:37:09,68.0546,166.4372,-4.99,99,100,1.99
232,Prado,BR,2021-11-25 00:37:09,-17.3411,-39.2208,73.58,90,100,6.15
233,Namtsy,RU,2021-11-25 00:37:10,62.7161,129.6658,-29.09,97,100,1.59
234,Bereda,ES,2021-11-25 00:37:11,43.2686,-7.5406,48.92,100,100,1.77
235,Grand Gaube,MU,2021-11-25 00:37:11,-20.0064,57.6608,74.37,76,7,1.99
236,Souillac,MU,2021-11-25 00:37:12,-20.5167,57.5167,74.35,88,20,4.61
237,Barra Velha,BR,2021-11-25 00:37:12,-26.6322,-48.6847,71.51,85,0,2.53
238,Tigil,RU,2021-11-25 00:37:13,57.8,158.6667,16.77,87,5,3.15
239,Khandyga,RU,2021-11-25 00:34:54,62.6667,135.6,-20.11,97,100,0.58
240,Oranjemund,NA,2021-11-25 00:37:13,-28.55,16.4333,59.94,93,22,6.51
241,Sao Filipe,CV,2021-11-25 00:37:14,14.8961,-24.4956,78.24,71,100,5.55
242,Chicama,PE,2021-11-25 00:37:15,-7.8447,-79.1469,61.34,80,100,6.85
243,Nyazepetrovsk,RU,2021-11-25 00:33:14,56.0531,59.6028,8.53,93,100,7.58
244,Avera,US,2021-11-25 00:37:15,33.194,-82.5271,44.53,31,8,5.68
245,Ancud,CL,2021-11-25 00:37:16,-41.8697,-73.8203,57.42,93,49,15.82
246,Portobelo,PA,2021-11-25 00:37:17,9.55,-79.65,76.05,82,100,3.02
247,General Roca,AR,2021-11-25 00:37:17,-39.0333,-67.5833,79.63,24,100,30.44
248,Kouqian,CN,2021-11-25 00:37:17,43.6391,126.4578,15.37,77,14,4.63
249,Ixtapa,MX,2021-11-25 00:34:28,20.7,-105.2,81.63,69,40,12.66
250,Corinth,GR,2021-11-25 00:33:26,37.9407,22.9573,55.89,82,74,5.55
251,Ilulissat,GL,2021-11-25 00:37:18,69.2167,-51.1,28.42,86,40,20.71
252,Mecca,SA,2021-11-25 00:37:19,21.4267,39.8261,72.81,71,0,1.95
253,Luderitz,NA,2021-11-25 00:37:19,-26.6481,15.1594,59.34,83,2,13.11
254,Aklavik,CA,2021-11-25 00:37:20,68.2191,-135.0107,-26.57,68,40,0.0
255,Moussoro,TD,2021-11-25 00:37:20,13.6408,16.4901,76.77,16,0,11.36
256,Tautira,PF,2021-11-25 00:37:21,-17.7333,-149.15,86.02,76,9,9.17
257,Marfino,RU,2021-11-25 00:37:21,55.7028,37.3822,35.85,89,90,17.9
258,Husavik,IS,2021-11-25 00:37:22,66.0449,-17.3389,28.31,80,100,19.53
259,Vila Velha,BR,2021-11-25 00:35:54,-20.3297,-40.2925,75.15,86,20,9.22
260,Half Moon Bay,US,2021-11-25 00:37:22,37.4636,-122.4286,65.28,47,1,1.99
261,Jalu,LY,2021-11-25 00:37:23,29.0331,21.5482,66.0,37,49,5.32
262,Kloulklubed,PW,2021-11-25 00:37:23,7.0419,134.2556,82.9,76,100,16.78
263,Kavaratti,IN,2021-11-25 00:37:24,10.5669,72.642,81.99,76,99,5.64
